member_id,date,item
2464,06-11-2015,Yogurt
2464,06-11-2015,Cheese
2464,06-11-2015,Toothpaste
2464,06-11-2015,Wine
2464,06-11-2015,Granola
2464,06-11-2015,Bananas
2464,06-11-2015,Peppers
2464,06-11-2015,Corn
2111,19-06-2015,Soy Sauce
2111,19-06-2015,Baby Bottles
2111,19-06-2015,Rice
3882,29-11-2015,Oranges
3882,29-11-2015,Coffee
3882,29-11-2015,Corn
3883,10-12-2015,Eggs
3883,10-12-2015,Celery
3883,10-12-2015,Pineapples
3883,10-12-2015,Vinegar
1147,09-12-2015,Honey
1147,09-12-2015,Skincare Products
1147,09-12-2015,Tea
4313,15-07-2015,Cleaning Supplies
4313,15-07-2015,Brownies
4313,15-07-2015,Paper Towels
2918,21-09-2015,Wheat
2918,21-09-2015,Baby Food
2188,20-04-2015,Wipes
2188,20-04-2015,Olive Oil
2188,20-04-2015,Pastries
2634,06-01-2015,Ice Cream
2634,06-01-2015,Toilet Paper
2553,30-06-2015,Sugar
2553,30-06-2015,Rice
2553,30-06-2015,Olive Oil
2553,30-06-2015,Tomatoes
2553,30-06-2015,Juice
2553,30-06-2015,Chips
2553,30-06-2015,Peppers
4888,23-12-2015,Pineapples
4888,23-12-2015,Rubbing Alcohol
4888,23-12-2015,Bleach
4888,23-12-2015,Juice
3735,08-02-2015,Cakes
3735,08-02-2015,Cheese
3735,08-02-2015,Tea
4032,18-09-2015,Popcorn
4032,18-09-2015,Paper Towels
4032,18-09-2015,Frozen Fruit
4032,18-09-2015,Butter
4032,18-09-2015,Bread
1112,02-04-2015,Wipes
1112,02-04-2015,Bleach
1112,02-04-2015,Baby Bottles
4918,13-03-2015,Sugar
4918,13-03-2015,Crackers
4918,13-03-2015,Milk
4918,13-03-2015,Toilet Paper
4918,13-03-2015,Honey
4918,13-03-2015,Soy Sauce
4918,13-03-2015,Frozen Vegetables
4918,13-03-2015,Jam
4918,13-03-2015,Tea
4918,13-03-2015,Bread
2579,27-06-2015,Toothbrushes
2579,27-06-2015,Toothpaste
2579,27-06-2015,Watermelons
2579,27-06-2015,Bananas
2579,27-06-2015,Soy Sauce
2579,27-06-2015,Frozen Vegetables
2579,27-06-2015,Dish Soap
4977,29-11-2015,Cheese
4977,29-11-2015,Watermelons
4977,29-11-2015,Baby Food
4977,29-11-2015,Frozen Vegetables
4977,29-11-2015,Butter
4977,29-11-2015,Eggs
2618,06-05-2015,Sugar
2618,06-05-2015,Yogurt
2618,06-05-2015,Salt
4952,25-10-2015,Salt
4952,25-10-2015,Butter
3763,05-09-2015,Shampoo
3763,05-09-2015,Skincare Products
3763,05-09-2015,Toilet Paper
3763,05-09-2015,Soy Sauce
3763,05-09-2015,Baby Bottles
3763,05-09-2015,Frozen Vegetables
3763,05-09-2015,Eggs
1651,20-04-2015,Canned Fish
1651,20-04-2015,Baby Bottles
1651,20-04-2015,Frozen Fruit
2314,04-05-2015,Popcorn
2314,04-05-2015,Diapers
2314,04-05-2015,Mustard
2314,04-05-2015,Baby Food
2314,04-05-2015,Garlic
4212,26-12-2015,Milk
4212,26-12-2015,Butter
4212,26-12-2015,Celery
4212,26-12-2015,Toilet Paper
2993,09-03-2015,Juice
2993,09-03-2015,Pasta
2993,09-03-2015,Bananas
2993,09-03-2015,Pastries
2993,09-03-2015,Pepper
2993,09-03-2015,Bleach
1602,03-06-2015,Tissues
1602,03-06-2015,Bleach
1602,03-06-2015,Canned Fish
1602,03-06-2015,Milk
2461,25-07-2015,Coffee
2461,25-07-2015,Broccoli
2461,25-07-2015,Tissues
2461,25-07-2015,Pepper
2461,25-07-2015,Tea
2220,11-07-2015,Celery
2220,11-07-2015,Pastries
2010,14-10-2015,Apples
2010,14-10-2015,Diapers
2010,14-10-2015,Tomatoes
2010,14-10-2015,Toilet Paper
2010,14-10-2015,Oranges
2010,14-10-2015,Peppers
2402,31-08-2015,Cleaning Supplies
2402,31-08-2015,Apples
2402,31-08-2015,Frozen Fruit
2402,31-08-2015,Baby Bottles
2402,31-08-2015,Oranges
2402,31-08-2015,Bleach
2402,31-08-2015,Dish Soap
4288,25-12-2015,Sugar
4288,25-12-2015,Cakes
4288,25-12-2015,Rice
4288,25-12-2015,Broccoli
4288,25-12-2015,Milk
4288,25-12-2015,Pasta
4288,25-12-2015,Eggs
2678,02-02-2015,Popcorn
2678,02-02-2015,Cheese
2678,02-02-2015,Chips
2678,02-02-2015,Apples
4712,13-03-2015,Bleach
4712,13-03-2015,Cleaning Supplies
4712,13-03-2015,Canned Fish
2898,15-08-2015,Yogurt
2898,15-08-2015,Popcorn
2898,15-08-2015,Apples
2898,15-08-2015,Skincare Products
2898,15-08-2015,Baby Bottles
2898,15-08-2015,Eggs
4633,18-03-2015,Ice Cream
4633,18-03-2015,Pepper
4633,18-03-2015,Salt
4633,18-03-2015,Bread
1290,13-05-2015,Toothbrushes
1290,13-05-2015,Toothpaste
1290,13-05-2015,Milk
