antecedents,consequents,support,confidence,lift
"Tea, Sugar, Paper Towels",Honey,0.003006012024048096,1.0,16.360655737704917
Jam,Bread,0.01603206412825651,1.0,14.056338028169014
"Honey, Sugar, Paper Towels",Tea,0.003006012024048096,1.0,8.180327868852459
"Frozen Vegetables, Oranges, Rice",Olive Oil,0.003006012024048096,1.0,9.784313725490195
"Bananas, Rice",Olive Oil,0.004008016032064128,1.0,9.784313725490195
"Bananas, Granola",Yogurt,0.00501002004008016,1.0,14.056338028169014
"Crackers, Eggs, Bread",Butter,0.003006012024048096,1.0,9.072727272727272
"Milk, Corn, Bread",Butter,0.003006012024048096,1.0,9.072727272727272
"Yogurt, Pineapples",Bananas,0.003006012024048096,1.0,11.880952380952381
"Toothpaste, Baby Bottles",Toothbrushes,0.004008016032064128,1.0,10.288659793814434
"Crackers, Bread, Cheese",Butter,0.003006012024048096,1.0,9.072727272727272
"Bananas, Toothbrushes, Soy Sauce",Toothpaste,0.003006012024048096,1.0,12.794871794871796
"Tea, Granola",Yogurt,0.00501002004008016,1.0,14.056338028169014
"Sugar, Salt, Frozen Fruit",Ice Cream,0.004008016032064128,1.0,12.170731707317074
"Granola, Ice Cream","Yogurt, Frozen Fruit",0.003006012024048096,1.0,142.57142857142858
"Frozen Fruit, Granola","Yogurt, Ice Cream",0.003006012024048096,1.0,249.50000000000003
"Frozen Fruit, Granola, Ice Cream",Yogurt,0.003006012024048096,1.0,14.056338028169014
"Yogurt, Granola, Ice Cream",Frozen Fruit,0.003006012024048096,1.0,8.60344827586207
"Yogurt, Frozen Fruit, Granola",Ice Cream,0.003006012024048096,1.0,12.170731707317074
Tomato Sauce,Pasta,0.02404809619238477,1.0,16.633333333333333
Onions,Tomatoes,0.02404809619238477,1.0,14.895522388059701
"Sugar, Granola",Yogurt,0.004008016032064128,1.0,14.056338028169014
"Shampoo, Granola",Yogurt,0.003006012024048096,1.0,14.056338028169014
"Granola, Oranges",Yogurt,0.00501002004008016,1.0,14.056338028169014
"Yogurt, Ice Cream",Frozen Fruit,0.004008016032064128,1.0,8.60344827586207
"Tea, Soda, Crackers",Cookies,0.003006012024048096,1.0,13.306666666666665
"Cookies, Tea, Crackers",Soda,0.003006012024048096,1.0,9.504761904761905
"Crackers, Conditioner, Olive Oil",Shampoo,0.003006012024048096,1.0,12.320987654320987
"Crackers, Shampoo, Olive Oil",Conditioner,0.003006012024048096,1.0,32.193548387096776
"Tomato Sauce, Bread","Milk, Pasta",0.003006012024048096,1.0,199.6
"Milk, Tomato Sauce","Bread, Pasta",0.003006012024048096,1.0,332.6666666666667
"Tomato Sauce, Pasta, Bread",Milk,0.003006012024048096,1.0,12.170731707317074
"Milk, Pasta, Bread",Tomato Sauce,0.003006012024048096,1.0,41.583333333333336
"Milk, Tomato Sauce, Pasta",Bread,0.003006012024048096,1.0,14.056338028169014
"Milk, Tomato Sauce, Bread",Pasta,0.003006012024048096,1.0,16.633333333333333
"Toothpaste, Butter, Bread",Toothbrushes,0.003006012024048096,1.0,10.288659793814434
"Cakes, Bleach",Garlic,0.003006012024048096,1.0,11.741176470588234
"Granola, Ice Cream",Frozen Fruit,0.003006012024048096,1.0,8.60344827586207
"Frozen Fruit, Granola",Ice Cream,0.003006012024048096,1.0,12.170731707317074
"Honey, Pastries",Tea,0.004008016032064128,1.0,8.180327868852459
"Mustard, Ice Cream",Frozen Fruit,0.003006012024048096,1.0,8.60344827586207
"Honey, Ice Cream",Frozen Fruit,0.00501002004008016,1.0,8.60344827586207
"Honey, Frozen Fruit",Ice Cream,0.00501002004008016,1.0,12.170731707317074
"Frozen Fruit, Granola",Yogurt,0.003006012024048096,1.0,14.056338028169014
"Apples, Brownies",Bananas,0.004008016032064128,1.0,11.880952380952381
"Pineapples, Ice Cream",Frozen Fruit,0.003006012024048096,1.0,8.60344827586207
"Bananas, Butter, Chips",Soda,0.003006012024048096,1.0,9.504761904761905
"Bananas, Soda, Butter",Chips,0.003006012024048096,1.0,13.486486486486486
"Soda, Baby Food, Ice Cream",Diapers,0.003006012024048096,1.0,16.633333333333333
"Soda, Diapers, Ice Cream",Baby Food,0.003006012024048096,1.0,13.86111111111111
"Cleaning Supplies, Pineapples",Bleach,0.004008016032064128,1.0,10.847826086956522
"Skincare Products, Bread, Olive Oil",Shampoo,0.003006012024048096,1.0,12.320987654320987
"Shampoo, Skincare Products, Bread",Olive Oil,0.003006012024048096,1.0,9.784313725490195
"Shampoo, Bread, Olive Oil",Skincare Products,0.003006012024048096,1.0,11.604651162790697
"Bread, Pasta","Milk, Tomato Sauce",0.003006012024048096,1.0,332.6666666666667
"Baby Bottles, Tomato Sauce",Pasta,0.003006012024048096,1.0,16.633333333333333
"Granola, Bleach",Yogurt,0.004008016032064128,1.0,14.056338028169014
